Heat Date,Heat No,Grade,Shape,Shift Incharge,Liq Temperature,Lift Temperature,Heat COmpany,Cut Length1,Cut Length2,Cut Length3,Cut Length4,Cut Length5,NI,MO,NI&MO
25-01-2025,200205,15B25,BLOOM,SAKTHIVEL,1514,1598,ML,3.84 TO 3.87,,,,,NO,NO,NO
25-01-2025,200208,20MC5,BLOOM,SAKTHIVEL,1515,1600,KSL,3.09 TO 3.12 (1ST HEAT),,,,,NO,NO,NO
25-01-2025,200209,20MnCr5,BLOOM,SAKTHIVEL,1515,1600,KSL,3.03 TO 3.06 (2ND HEAT),,,,,NO,NO,NO
25-01-2025,200210,20MnCr5HH,BLOOM,SAKTHIVEL,1515,1600,KSL,2.52 TO 2.55 (3RD HEAT),,,,,NO,NO,NO
25-01-2025,200211/12,SAE 10B21M1,BILLET,SAKTHIVEL,1521,1600,ML,7.50 TO 7.55,,,,,NO,NO,NO
25-01-2025,200214/15,55CR,BLOOM,VCK,1497,1570,KSL,3.00 TO 3.05,,,,,NO,NO,NO
25-01-2025,200216/18,SAE 1015,BILLET,VCK,1527,1608,ML,7.50 TO 7.55,,,,,NO,NO,NO
25-01-2025,200222/23,SCM 420H,BILLET,VCK,1519,1598,ML,11.80 TO 11.90,,,,,NO,YES,NO
25-01-2025,200224/26,SAE 1548,BLOOM,VCK,1500,1575,KSL,3.83 TO 3.86,,,,,NO,NO,NO
25-01-2025,200229/28,10B35S3,BILLET,CSP,1510,1585,ML,7.50 TO 7.55,,,,,NO,YES,NO
25-01-2025,200230/32,38MnSiVS5,BLOOM,CSP,1500,1570,KSL,4.15 TO 4.20,,,,,NO,NO,NO
25-01-2025,200231,CF53,BILLET,CSP,1496,1585,ML,11.80 TO 11.90,,,,,NO,NO,NO
25-01-2025,200234/35,SAE 1010,BILLET,CSP,1531,1621,ML,7.50 TO 7.55,,,,,NO,NO,NO
25-01-2025,200236/38,44MnSiVS6,BLOOM,CSP,1499,1585,KSL,3.97 TO 4.00,,,,,NO,YES,NO
25-01-2025,200240/41,SAE 8620H,BILLET,SAKTHIVEL,1515,1590,ML,11.80 TO 11.90,,,,,YES,YES,YES
26-01-2025,200242/43,CMA-1,BLOOM,SAKTHIVEL,1500,1575,KSL,4.15 TO 4.20,,,,,NO,NO,NO
26-01-2025,200245/46,SANC1,BILLET,SAKTHIVEL,1517,1589,ML,11.80 TO 11.90,,,,,NO,NO,NO
26-01-2025,200248/49,44MnSiVS6,BLOOM,SAKTHIVEL,1497,1572,KSL,3.97 TO 4.00 (1ST HEAT),4.00 TO 4.03 (2ND & 3RD HEAT),,,,NO,YES,NO
26-01-2025,200250/52,42Cr4MO2,BILLET,SAKTHIVEL,1504,1585,ML,11.80 TO 11.90,,,,,NO,YES,NO
26-01-2025,200254/55,SVh40C-A,BLOOM,RAGHU,1506,1580,KSL,4.20 TO 4.23,,,,,YES,NO,NO
26-01-2025,200257/58,SAE 4140,BILLET,RAGHU,1505,1581,ML,7.50 TO 7.55,,,,,NO,YES,YES
26-01-2025,200260/61,SCM 435BF,BLOOM,RAGHU,1511,1590,ML,3.20 TO 3.25,,,,,NO,YES,NO
26-01-2025,200263/64,15CrNI6,BILLET,CSP,1516,1600,ML,7.50 TO 7.55,,,,,YES,NO,NO
26-01-2025,200265/66,S45CS1,BLOOM,CSP,1501,1575,ML,3.25 TO 3.30(1ST HEAT),3.85 TO 3.90(2&3RD HEAT),,,,NO,NO,NO
26-01-2025,200268/69,JIS S35C,BILLET,CSP,1510,1590,ML,11.80 TO 11.90,,,,,NO,NO,NO
26-01-2025,200271/72,SKFGRD3,BLOOM,CSP,1467,1540,KSL,3.00 TO 3.05(FIRST HEAT),3.34 TO 3.37(SECOND HEAT),3.84 TO 3.87(THIRD HEAT),,,NO,NO,NO
26-01-2025,200273/75,SAE 9254D,BILLET,SAKTHIVEL,1489,1565,ML,11.80 TO 11.90,,,,,NO,NO,NO
27-01-2025,200277/78,SAE 52100,BLOOM,SAKTHIVEL,1466,1540,KSL,2.52 TO 2.55,,,,,NO,NO,NO
27-01-2025,200280/82,46MnVS6,BILLET,SAKTHIVEL,1493,1570,ML,11.80 TO 11.90,,,,,NO,NO,NO
27-01-2025,200283/84,SAE 52100,BLOOM,SAKTHIVEL,1466,1540,KSL,2.52 TO 2.55 (1ST HEAT),3.02 TO 3.05 (2ND & 3RD HEAT),,,,NO,NO,NO
27-01-2025,200285/87,SCM 435H,BILLET,RAGHU,1507,1575,ML,11.80 TO 11.90,,,,,NO,YES,NO
27-01-2025,200289/90,SCM420H2V2,BLOOM,RAGHU,1520,1595,ML,3.85 TO 3.90,,,,,NO,YES,NO
27-01-2025,200291/93,41Cr4,BILLET,RAGHU,1502,1578,ML,11.80 TO 11.90,,,,,NO,NO,NO
27-01-2025,200295/96,20MnCr5,BLOOM,SAKTHIVEL,1516,1595,ML,3.85 TO 3.90,,,,,NO,NO,NO
27-01-2025,200298/99,CMA-1,BILLET,SAKTHIVEL,1501,1575,KSL,3.49 TO 3.52,,,,,NO,NO,NO
27-01-2025,200300/02,S55CR,BLOOM,SAKTHIVEL,1497,1580,ML,3.20 TO 3.25,,,,,NO,NO,NO
27-01-2025,200301,38MnSiVS6,BILLET,SAKTHIVEL,1501,1580,KSL,3.50 TO 3.53,,,,,NO,NO,NO
27-01-2025,200304/05,SAE 1040,BILLET,SAKTHIVEL,1506,1580,KSL,3.57 TO 3.60,,,,,NO,NO,NO
27-01-2025,200306/08,38MnSiVS5M,BLOOM,VCK,1500,1575,ML,3.20 TO 3.25,,,,,NO,NO,NO
28-01-2025,200309/10,SAE 1050(M),BILLET,VCK,1500,1577,KSL,3.63 TO 3.66,,,,,NO,NO,NO
28-01-2025,200311/13,S45CP2,BLOOM,VCK,1503,1580,ML,3.85 TO 3.90,,,,,NO,NO,NO
